Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
102614,Undergraduate students,11866,4846,7020,2374,748,1626,216,82,134,262,113,149,652,251,401,103,40,63,5344,2289,3055,622,234,388,2158,1012,1146,135,77,58
102614,Graduate student,1397,575,822,80,13,67,30,11,19,21,13,8,46,21,25,4,1,3,802,321,481,61,17,44,221,98,123,132,80,52
102632,Total students enrolled for credit,4375,1504,2871,507,166,341,145,43,102,47,20,27,236,79,157,31,8,23,2367,839,1528,299,91,208,692,243,449,51,15,36
102632,Undergraduate students,3874,1378,2496,464,155,309,139,42,97,43,18,25,216,76,140,29,7,22,2065,761,1304,275,88,187,607,218,389,36,13,23
102632,Graduate student,501,126,375,43,11,32,6,1,5,4,2,2,20,3,17,2,1,1,302,78,224,24,3,21,85,25,60,15,2,13
102669,Total students enrolled for credit,622,240,382,103,36,67,17,8,9,20,8,12,10,4,6,3,0,3,335,137,198,66,23,43,68,24,44,0,0,0
102669,Undergraduate students,346,130,216,52,16,36,8,3,5,14,7,7,5,1,4,2,0,2,189,79,110,45,14,31,31,10,21,0,0,0
102669,Graduate student,276,110,166,51,20,31,9,5,4,6,1,5,5,3,2,1,0,1,146,58,88,21,9,12,37,14,23,0,0,0
102711,Total students enrolled for credit,1687,1389,298,371,287,84,17,13,4,12,10,2,55,42,13,6,5,1,758,669,89,84,73,11,382,290,92,2,0,2
102711,Undergraduate students,1687,1389,298,371,287,84,17,13,4,12,10,2,55,42,13,6,5,1,758,669,89,84,73,11,382,290,92,2,0,2
102845,Total students enrolled for credit,4540,1112,3428,459,100,359,12,6,6,284,91,193,1221,225,996,250,65,185,1838,513,1325,225,44,181,251,68,183,0,0,0
